sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,Inference Time (ms),FAR Limit,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.890,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.895,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.900,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.905,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.910,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.915,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.920,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.925,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.930,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.935,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.940,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.945,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.950,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.955,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.960,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.965,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.970,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.975,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.980,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.985,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.990,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.995,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,1.000,0.382143,0.0
