Detector,Dataset,Threshold,FAR,FRR,alpha,beta,FAR-alpha,FRR-beta,K_value
SBI,Celeb-DF,0.117,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
SBI,Celeb-DF,0.118,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
SBI,Celeb-DF,0.119,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
SBI,Celeb-DF,0.12,0.005882,0.865169,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3558616032984523,0.15079797764526037
SBI,Celeb-DF,0.121,0.005882,0.865169,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3558616032984523,0.15079797764526037
SBI,Celeb-DF,0.122,0.005882,0.865169,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3558616032984523,0.15079797764526037
SBI,Celeb-DF,0.123,0.005882,0.865169,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3558616032984523,0.15079797764526037
SBI,Celeb-DF,0.124,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.125,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.126,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.127,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.128,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.129,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.13,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.131,0.005882,0.859551,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3502436032984522,0.1501731476210528
SBI,Celeb-DF,0.132,0.008824,0.859551,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3502436032984522,0.15414556430195686
SBI,Celeb-DF,0.133,0.008824,0.859551,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3502436032984522,0.15414556430195686
SBI,Celeb-DF,0.134,0.008824,0.859551,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3502436032984522,0.15414556430195686
SBI,Celeb-DF,0.135,0.008824,0.859551,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3502436032984522,0.15414556430195686
SBI,Celeb-DF,0.136,0.008824,0.859551,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3502436032984522,0.15414556430195686
SBI,Celeb-DF,0.137,0.008824,0.853933,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3446256032984523,0.1535042061217493
SBI,Celeb-DF,0.138,0.008824,0.853933,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3446256032984523,0.1535042061217493
SBI,Celeb-DF,0.139,0.008824,0.853933,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3446256032984523,0.1535042061217493
SBI,Celeb-DF,0.14,0.008824,0.853933,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3446256032984523,0.1535042061217493
SBI,Celeb-DF,0.141,0.008824,0.848315,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3390076032984524,0.15286284794154176
SBI,Celeb-DF,0.142,0.008824,0.848315,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3390076032984524,0.15286284794154176
SBI,Celeb-DF,0.143,0.008824,0.848315,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3390076032984524,0.15286284794154176
SBI,Celeb-DF,0.144,0.008824,0.848315,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3390076032984524,0.15286284794154176
SBI,Celeb-DF,0.145,0.008824,0.848315,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3390076032984524,0.15286284794154176
SBI,Celeb-DF,0.146,0.008824,0.848315,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3390076032984524,0.15286284794154176
SBI,Celeb-DF,0.147,0.008824,0.842697,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3333896032984522,0.15222148976133418
SBI,Celeb-DF,0.148,0.008824,0.842697,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3333896032984522,0.15222148976133418
SBI,Celeb-DF,0.149,0.008824,0.842697,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3333896032984522,0.15222148976133418
SBI,Celeb-DF,0.15,0.008824,0.837079,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3277716032984523,0.15158013158112663
SBI,Celeb-DF,0.151,0.008824,0.837079,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3277716032984523,0.15158013158112663
SBI,Celeb-DF,0.152,0.008824,0.825843,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3165356032984523,0.15029741522071152
SBI,Celeb-DF,0.153,0.008824,0.820225,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3109176032984522,0.14965605704050394
SBI,Celeb-DF,0.154,0.008824,0.820225,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.3109176032984522,0.14965605704050394
SBI,Celeb-DF,0.155,0.008824,0.808989,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2996816032984522,0.1483733406800888
SBI,Celeb-DF,0.156,0.008824,0.808989,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2996816032984522,0.1483733406800888
SBI,Celeb-DF,0.157,0.008824,0.808989,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2996816032984522,0.1483733406800888
SBI,Celeb-DF,0.158,0.008824,0.808989,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2996816032984522,0.1483733406800888
SBI,Celeb-DF,0.159,0.008824,0.803371,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2940636032984523,0.14773198249988126
SBI,Celeb-DF,0.16,0.008824,0.803371,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2940636032984523,0.14773198249988126
SBI,Celeb-DF,0.161,0.008824,0.803371,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2940636032984523,0.14773198249988126
SBI,Celeb-DF,0.162,0.008824,0.803371,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2940636032984523,0.14773198249988126
SBI,Celeb-DF,0.163,0.008824,0.797753,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2884456032984524,0.1470906243196737
SBI,Celeb-DF,0.164,0.008824,0.797753,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2884456032984524,0.1470906243196737
SBI,Celeb-DF,0.165,0.008824,0.797753,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2884456032984524,0.1470906243196737
SBI,Celeb-DF,0.166,0.008824,0.797753,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2884456032984524,0.1470906243196737
SBI,Celeb-DF,0.167,0.008824,0.797753,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2884456032984524,0.1470906243196737
SBI,Celeb-DF,0.168,0.008824,0.792135,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2828276032984522,0.14644926613946616
SBI,Celeb-DF,0.169,0.008824,0.792135,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2828276032984522,0.14644926613946616
SBI,Celeb-DF,0.17,0.008824,0.786517,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2772096032984523,0.1458079079592586
SBI,Celeb-DF,0.171,0.008824,0.786517,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2772096032984523,0.1458079079592586
SBI,Celeb-DF,0.172,0.008824,0.775281,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2659736032984523,0.14452519159884347
SBI,Celeb-DF,0.173,0.008824,0.775281,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2659736032984523,0.14452519159884347
SBI,Celeb-DF,0.174,0.008824,0.775281,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2659736032984523,0.14452519159884347
SBI,Celeb-DF,0.175,0.008824,0.775281,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2659736032984523,0.14452519159884347
SBI,Celeb-DF,0.176,0.008824,0.775281,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2659736032984523,0.14452519159884347
SBI,Celeb-DF,0.177,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.178,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.179,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.18,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.181,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.182,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.183,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.184,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.185,0.008824,0.769663,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2603556032984522,0.1438838334186359
SBI,Celeb-DF,0.186,0.008824,0.764045,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2547376032984523,0.14324247523842834
SBI,Celeb-DF,0.187,0.008824,0.764045,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2547376032984523,0.14324247523842834
SBI,Celeb-DF,0.188,0.008824,0.758427,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2491196032984522,0.1426011170582208
SBI,Celeb-DF,0.189,0.008824,0.752809,-0.10533729943174792,-0.49069260329845227,0.11416129943174792,1.2435016032984523,0.14195975887801324
